order,name,symbol,sector,industry,NIFTY,BANKNIFTY,NIFTYJR,CNX200,NIFTY_MID_SELECT,NIFTYSMLCAP250,NIFTY_TOTAL_MKT,CNX500,NIFTY_MICROCAP250,FO,FYERS_NAME
781,Bannari Amman Sugars Limited,BANARISUG,Process Industries,Agricultural Commodities/Milling,False,False,False,False,False,False,False,False,False,False,
782,Gulf Oil Lubricants India Ltd,GULFOILLUB,Energy Minerals,Oil Refining/Marketing,False,False,False,False,False,False,False,False,False,False,
783,VST Tillers Tractors Limited,VSTTILLERS,Producer Manufacturing,Trucks/Construction/Farm Machinery,False,False,False,False,False,False,False,False,False,False,
784,Puravankara Limited,PURVA,Finance,Real Estate Development,False,False,False,False,False,False,True,False,True,False,
785,Sun Pharma Advanced Research Co. Ltd.,SPARC,Health Technology,Pharmaceuticals: Major,False,False,False,False,False,False,True,False,True,False,
786,Hindustan Construction Co. Ltd.,HCC,Industrial Services,Engineering & Construction,False,False,False,False,False,False,True,False,True,False,
787,RattanIndia Enterprises Limited,RTNINDIA,Commercial Services,Miscellaneous Commercial Services,False,False,False,False,False,False,True,False,True,False,
788,Epigral Ltd,EPIGRAL,Process Industries,Chemicals: Agricultural,False,False,False,False,False,False,False,False,False,False,
789,GHCL Limited,GHCL,Process Industries,Textiles,False,False,False,False,False,False,True,False,True,False,
790,Sunflag Iron & Steel Co. Ltd.,SUNFLAG,Non-Energy Minerals,Steel,False,False,False,False,False,False,False,False,False,False,
791,Gujarat Alkalies & Chemicals Ltd.,GUJALKALI,Process Industries,Chemicals: Specialty,False,False,False,False,False,False,False,False,False,False,
792,VRL Logistics Ltd.,VRLLOG,Transportation,Trucking,False,False,False,False,False,False,False,False,False,False,
793,Gng Electronics Limited,EBGNG,Technology Services,Information Technology Services,False,False,False,False,False,False,False,False,False,False,
794,Skipper Ltd,SKIPPER,Producer Manufacturing,Metal Fabrication,False,False,False,False,False,False,True,False,True,False,
795,Agi Infra Ltd.,AGIIL,Finance,Real Estate Development,False,False,False,False,False,False,False,False,False,False,
796,Knowledge Marine & Engineering Works Limited,KMEW,Producer Manufacturing,Trucks/Construction/Farm Machinery,False,False,False,False,False,False,False,False,False,False,
797,Jana Small Finance Bank Ltd,JSFB,Finance,Regional Banks,False,False,False,False,False,False,True,False,True,False,
798,PDS Limited,PDSL,Consumer Non-Durables,Apparel/Footwear,False,False,False,False,False,False,False,False,False,False,
799,NIIT Learning Systems Ltd,NIITMTS,Commercial Services,Miscellaneous Commercial Services,False,False,False,False,False,False,False,False,False,False,
800,IFB Industries Ltd,IFBIND,Consumer Durables,Electronics/Appliances,False,False,False,False,False,False,True,False,True,False,
801,Bansal Wire Industries Limited,BANSALWIRE,Non-Energy Minerals,Steel,False,False,False,False,False,False,False,False,False,False,
802,Datamatics Global Services Limited,DATAMATICS,Technology Services,Packaged Software,False,False,False,False,False,False,True,False,True,False,
803,Bajaj Electricals Limited,BAJAJELEC,Consumer Durables,Electronics/Appliances,False,False,False,False,False,False,True,False,True,False,
804,Oswal Pumps Limited,OSWALPUMPS,Producer Manufacturing,Industrial Machinery,False,False,False,False,False,False,True,False,True,False,
805,Sterling And Wilson Renewable Energy Limited,SWSOLAR,Industrial Services,Engineering & Construction,False,False,False,False,False,False,True,False,True,False,
806,SIS Limited,SIS,Commercial Services,Miscellaneous Commercial Services,False,False,False,False,False,False,False,False,False,False,
807,Capillary Technologies India Ltd.,CAPILLARY,Technology Services,Packaged Software,False,False,False,False,False,False,True,False,True,False,
808,Omnitech Engineering Limited,OMNI,Producer Manufacturing,Metal Fabrication,False,False,False,False,False,False,False,False,False,False,
809,GMM Pfaudler Limited,GMMPFAUDLR,Producer Manufacturing,Industrial Machinery,False,False,False,False,False,False,True,False,True,False,
810,Oriana Power Limited,ORIANA,Industrial Services,Engineering & Construction,False,False,False,False,False,False,False,False,False,False,ORIANA-SM
811,eMudhra Limited,EMUDHRA,Technology Services,Packaged Software,False,False,False,False,False,False,False,False,False,False,
812,Rain Industries Limited,RAIN,Process Industries,Industrial Specialties,False,False,False,False,False,False,True,False,True,False,
813,Chemplast Sanmar Limited,CHEMPLASTS,Process Industries,Chemicals: Major Diversified,False,False,False,False,False,False,False,False,False,False,
814,Texmaco Rail & Engineering Limited,TEXRAIL,Producer Manufacturing,Trucks/Construction/Farm Machinery,False,False,False,False,False,False,True,False,True,False,
815,Centum Electronics Limited,CENTUM,Electronic Technology,Electronic Components,False,False,False,False,False,False,False,False,False,False,
816,Unimech Aerospace & Manufacturing Limited,UNIMECH,Producer Manufacturing,Industrial Machinery,False,False,False,False,False,False,False,False,False,False,
817,Electronics Mart India Limited,EMIL,Retail Trade,Electronics/Appliance Stores,False,False,False,False,False,False,True,False,True,False,
818,Lux Industries Ltd.,LUXIND,Consumer Non-Durables,Apparel/Footwear,False,False,False,False,False,False,False,False,False,False,
819,Seshaasai Technologies Limited,STYL,Technology Services,Packaged Software,False,False,False,False,False,False,True,False,True,False,
820,Suven Life Sciences Limited,SUVEN,Health Technology,Pharmaceuticals: Major,False,False,False,False,False,False,False,False,False,False,
821,Indraprastha Medical Corporation Limited,INDRAMEDCO,Health Services,Hospital/Nursing Management,False,False,False,False,False,False,False,False,False,False,
822,Innova Captab Limited,INNOVACAP,Health Technology,Pharmaceuticals: Major,False,False,False,False,False,False,False,False,False,False,
823,NACL Industries Ltd,NACLIND,Process Industries,Chemicals: Agricultural,False,False,False,False,False,False,False,False,False,False,
824,Indigo Paints Ltd,INDIGOPNTS,Process Industries,Industrial Specialties,False,False,False,False,False,False,True,False,True,False,
825,Northern Arc Capital Ltd.,NORTHARC,Finance,Finance/Rental/Leasing,False,False,False,False,False,False,False,False,False,False,
826,SEAMEC Limited,SEAMECLTD,Industrial Services,Oilfield Services/Equipment,False,False,False,False,False,False,False,False,False,False,
827,Avantel Limited,AVANTEL,Electronic Technology,Telecommunications Equipment,False,False,False,False,False,False,False,False,False,False,
828,Goldiam International Limited,GOLDIAM,Consumer Durables,Other Consumer Specialties,False,False,False,False,False,False,False,False,False,False,
829,Man Infraconstruction Limited,MANINFRA,Finance,Real Estate Development,False,False,False,False,False,False,False,False,False,False,
830,India Tourism Development Corp. Ltd.,ITDC,Consumer Services,Hotels/Resorts/Cruise lines,False,False,False,False,False,False,False,False,False,False,
831,Mahindra Logistics Ltd.,MAHLOG,Transportation,Air Freight/Couriers,False,False,False,False,False,False,False,False,False,False,
832,Stylam Industries Limited,STYLAMIND,Non-Energy Minerals,Forest Products,False,False,False,False,False,False,False,False,False,False,
833,DB Corp. Ltd.,DBCORP,Consumer Services,Publishing: Newspapers,False,False,False,False,False,False,False,False,False,False,
834,VST Industries Limited,VSTIND,Consumer Non-Durables,Tobacco,False,False,False,False,False,False,False,False,False,False,
835,SMS Pharmaceuticals Limited,SMSPHARMA,Health Technology,Pharmaceuticals: Major,False,False,False,False,False,False,False,False,False,False,
836,Crizac Limited,CRIZAC,Technology Services,Internet Software/Services,False,False,False,False,False,False,True,False,True,False,
837,TARC Limited,TARC,Finance,Real Estate Development,False,False,False,False,False,False,True,False,True,False,
838,Zota Health Care Ltd.,ZOTA,Health Technology,Pharmaceuticals: Major,False,False,False,False,False,False,False,False,False,False,
839,Indo Thai Securities Limited,INDOTHAI,Finance,Investment Banks/Brokers,False,False,False,False,False,False,False,False,False,False,
840,Responsive Industries Limited,RESPONIND,Non-Energy Minerals,Forest Products,False,False,False,False,False,False,False,False,False,False,
841,Sanathan Textiles Limited,SANATHAN,Process Industries,Textiles,False,False,False,False,False,False,False,False,False,False,
842,Jindal Poly Films Limited,JINDALPOLY,Process Industries,Containers/Packaging,False,False,False,False,False,False,False,False,False,False,
843,JTEKT India Limited,JTEKTINDIA,Consumer Durables,Automotive Aftermarket,False,False,False,False,False,False,False,False,False,False,
844,Anup Engineering Ltd.,ANUP,Producer Manufacturing,Industrial Machinery,False,False,False,False,False,False,True,False,True,False,
845,Artemis Medicare Services Ltd.,ARTEMISMED,Health Services,Hospital/Nursing Management,False,False,False,False,False,False,False,False,False,False,
846,Krishana Phoschem Ltd.,KRISHANA,Process Industries,Chemicals: Agricultural,False,False,False,False,False,False,False,False,False,False,
847,National Fertilizers Ltd.,NFL,Process Industries,Chemicals: Agricultural,False,False,False,False,False,False,True,False,True,False,
848,Restaurant Brands Asia Limited,RBA,Consumer Services,Restaurants,False,False,False,False,False,False,True,False,True,False,
849,Senores Pharmaceuticals Ltd.,SENORES,Health Technology,Pharmaceuticals: Major,False,False,False,False,False,False,False,False,False,False,
850,Goodluck India Ltd.,GOODLUCK,Non-Energy Minerals,Steel,False,False,False,False,False,False,False,False,False,False,
851,J. Kumar Infraprojects Limited,JKIL,Industrial Services,Engineering & Construction,False,False,False,False,False,False,False,False,False,False,
852,Hemisphere Properties India Ltd.,HEMIPROP,Finance,Real Estate Development,False,False,False,False,False,False,True,False,True,False,
853,Trualt Bioenergy Limited,TRUALT,Process Industries,Chemicals: Specialty,False,False,False,False,False,False,False,False,False,False,
854,Pondy Oxides & Chemicals Ltd.,POCL,Non-Energy Minerals,Other Metals/Minerals,False,False,False,False,False,False,False,False,False,False,
855,Shanthi Gears Limited,SHANTIGEAR,Producer Manufacturing,Auto Parts: OEM,False,False,False,False,False,False,False,False,False,False,
856,Foseco India Limited,FOSECOIND,Process Industries,Chemicals: Major Diversified,False,False,False,False,False,False,False,False,False,False,
857,Samhi Hotels Limited,SAMHI,Consumer Services,Hotels/Resorts/Cruise lines,False,False,False,False,False,False,True,False,True,False,
858,Neogen Chemicals Ltd.,NEOGEN,Process Industries,Chemicals: Specialty,False,False,False,False,False,False,True,False,True,False,
859,Sindhu Trade Links Ltd.,SINDHUTRAD,Transportation,Air Freight/Couriers,False,False,False,False,False,False,False,False,False,False,
860,Vishnu Chemicals Limited,VISHNU,Process Industries,Chemicals: Specialty,False,False,False,False,False,False,False,False,False,False,
861,Vaibhav Global Ltd.,VAIBHAVGBL,Consumer Durables,Other Consumer Specialties,False,False,False,False,False,False,True,False,True,False,
862,AGI Greenpac Limited,AGI,Process Industries,Containers/Packaging,False,False,False,False,False,False,False,False,False,False,
863,Reliance Infrastructure Limited,RELINFRA,Utilities,Electric Utilities,False,False,False,False,False,False,False,False,False,False,RELINFRA-BE
864,Rolex Rings Limited,ROLEXRINGS,Producer Manufacturing,Metal Fabrication,False,False,False,False,False,False,False,False,False,False,
865,Laxmi Organic Industries Ltd.,LXCHEM,Process Industries,Chemicals: Specialty,False,False,False,False,False,False,True,False,True,False,
866,Paisalo Digital Ltd.,PAISALO,Finance,Finance/Rental/Leasing,False,False,False,False,False,False,False,False,False,False,
867,Balaji Amines Limited,BALAMINES,Process Industries,Chemicals: Specialty,False,False,False,False,False,False,True,False,True,False,
868,IndoStar Capital Finance Limited,INDOSTAR,Finance,Finance/Rental/Leasing,False,False,False,False,False,False,False,False,False,False,
869,Aeroflex Industries Ltd.,AEROFLEX,Producer Manufacturing,Industrial Machinery,False,False,False,False,False,False,False,False,False,False,
870,Cigniti Technologies Limited,CIGNITITEC,Technology Services,Information Technology Services,False,False,False,False,False,False,True,False,True,False,
871,Bosch Home Comfort India Ltd,BOSCH-HCIL,Consumer Durables,Electronics/Appliances,False,False,False,False,False,False,False,False,False,False,
872,Heidelbergcement India Limited.,HEIDELBERG,Non-Energy Minerals,Construction Materials,False,False,False,False,False,False,False,False,False,False,
873,Gopal Snacks Limited,GOPAL,Consumer Non-Durables,Food: Specialty/Candy,False,False,False,False,False,False,False,False,False,False,
874,Greaves Cotton Limited,GREAVESCOT,Producer Manufacturing,Trucks/Construction/Farm Machinery,False,False,False,False,False,False,True,False,True,False,
875,Ashoka Buildcon Limited,ASHOKA,Industrial Services,Engineering & Construction,False,False,False,False,False,False,True,False,True,False,
876,Moschip Technologies Ltd,MOSCHIP,Electronic Technology,Semiconductors,False,False,False,False,False,False,False,False,False,False,
877,Orient Electric Ltd.,ORIENTELEC,Consumer Durables,Electronics/Appliances,False,False,False,False,False,False,False,False,False,False,
878,Wonderla Holidays Ltd.,WONDERLA,Consumer Services,Movies/Entertainment,False,False,False,False,False,False,False,False,False,False,
879,RPSG Ventures Limited,RPSGVENT,Finance,Financial Conglomerates,False,False,False,False,False,False,False,False,False,False,
880,Zaggle Prepaid Ocean Services Limited,ZAGGLE,Technology Services,Packaged Software,False,False,False,False,False,False,True,False,True,False,
881,Styrenix Performance Materials Ltd,STYRENIX,Process Industries,Chemicals: Specialty,False,False,False,False,False,False,True,False,True,False,
882,R Systems International Limited,RSYSTEMS,Technology Services,Information Technology Services,False,False,False,False,False,False,False,False,False,False,
883,Sambhv Steel Tubes Limited,SAMBHV,Non-Energy Minerals,Steel,False,False,False,False,False,False,False,False,False,False,
884,Kitex Garments Limited,KITEX,Process Industries,Textiles,False,False,False,False,False,False,True,False,True,False,
885,H.G. Infra Engineering Ltd.,HGINFRA,Industrial Services,Engineering & Construction,False,False,False,False,False,False,True,False,True,False,
886,Anand Rathi Share and Stock Brokers Limited,ARSSBL,Finance,Investment Banks/Brokers,False,False,False,False,False,False,False,False,False,False,
887,Websol Energy System Limited,WEBELSOLAR,Electronic Technology,Semiconductors,False,False,False,False,False,False,True,False,True,False,
888,KSH International Ltd.,KSHINTL,Producer Manufacturing,Electrical Products,False,False,False,False,False,False,False,False,False,False,
889,KNR Constructions Limited,KNRCON,Industrial Services,Engineering & Construction,False,False,False,False,False,False,True,False,True,False,
890,Ramky Infrastructure Limited,RAMKY,Industrial Services,Engineering & Construction,False,False,False,False,False,False,False,False,False,False,
891,Aarti Drugs Limited,AARTIDRUGS,Health Technology,Pharmaceuticals: Major,False,False,False,False,False,False,True,False,True,False,
892,Vadilal Industries Limited,VADILALIND,Consumer Non-Durables,Food: Specialty/Candy,False,False,False,False,False,False,False,False,False,False,
893,Man Industries (India) Limited,MANINDS,Producer Manufacturing,Industrial Machinery,False,False,False,False,False,False,False,False,False,False,
894,Shoppers Stop Limited,SHOPERSTOP,Retail Trade,Department Stores,False,False,False,False,False,False,False,False,False,False,
895,Advanced Enzyme Technologies Ltd,ADVENZYMES,Consumer Non-Durables,Food: Specialty/Candy,False,False,False,False,False,False,True,False,True,False,
896,Flair Writing Industries Limited,FLAIR,Producer Manufacturing,Office Equipment/Supplies,False,False,False,False,False,False,False,False,False,False,
897,Interarch Building Solutions Ltd,INTERARCH,Producer Manufacturing,Building Products,False,False,False,False,False,False,False,False,False,False,
898,Indiqube Spaces Limited,INDIQUBE,Finance,Real Estate Development,False,False,False,False,False,False,False,False,False,False,
899,Harsha Engineers International Ltd.,HARSHA,Producer Manufacturing,Metal Fabrication,False,False,False,False,False,False,False,False,False,False,
900,Pace Digitek Limited,PACEDIGITK,Utilities,Electric Utilities,False,False,False,False,False,False,False,False,False,False,
901,Optiemus Infracom Limited,OPTIEMUS,Distribution Services,Electronics Distributors,False,False,False,False,False,False,True,False,True,False,
902,Steel Strips Wheels Ltd,SSWL,Producer Manufacturing,Auto Parts: OEM,False,False,False,False,False,False,False,False,False,False,
903,Ellenbarrie Industrial Gases Limited,ELLEN,Process Industries,Chemicals: Specialty,False,False,False,False,False,False,True,False,True,False,
904,Ashiana Housing Limited,ASHIANA,Finance,Real Estate Development,False,False,False,False,False,False,False,False,False,False,
905,Tourism Finance Corporation of India Limited,TFCILTD,Finance,Finance/Rental/Leasing,False,False,False,False,False,False,False,False,False,False,
906,Kirloskar Industries Limited,KIRLOSIND,Non-Energy Minerals,Steel,False,False,False,False,False,False,False,False,False,False,
907,RPG Life Sciences Limited,RPGLIFE,Health Technology,Pharmaceuticals: Major,False,False,False,False,False,False,False,False,False,False,
908,Raghav Productivity Enhancers Ltd.,RPEL,Process Industries,Chemicals: Major Diversified,False,False,False,False,False,False,False,False,False,False,
909,GRM Overseas Ltd.,GRMOVER,Process Industries,Agricultural Commodities/Milling,False,False,False,False,False,False,False,False,False,False,
910,Gujarat Themis Biosyn Ltd,GUJTHEM,Health Technology,Pharmaceuticals: Major,False,False,False,False,False,False,False,False,False,False,
911,"Route Mobile, Ltd.",ROUTE,Communications,Major Telecommunications,False,False,False,False,False,False,True,False,True,False,
912,Refex Industries Limited,REFEX,Energy Minerals,Coal,False,False,False,False,False,False,True,False,True,False,
913,Share India Securities Ltd,SHAREINDIA,Finance,Investment Banks/Brokers,False,False,False,False,False,False,True,False,True,False,
914,Heritage Foods Limited,HERITGFOOD,Consumer Non-Durables,Food: Meat/Fish/Dairy,False,False,False,False,False,False,True,False,True,False,
915,Marathon Nextgen Realty Limited,MARATHON,Finance,Real Estate Development,False,False,False,False,False,False,False,False,False,False,
916,Ram Ratna Wires Limited,RAMRAT,Producer Manufacturing,Electrical Products,False,False,False,False,False,False,False,False,False,False,
917,Gufic Biosciences Limited,GUFICBIO,Health Technology,Pharmaceuticals: Major,False,False,False,False,False,False,False,False,False,False,
918,Dalmia Bharat Sugar & Industries Ltd.,DALMIASUG,Process Industries,Agricultural Commodities/Milling,False,False,False,False,False,False,False,False,False,False,
919,Enviro Infra Engineers Limited,EIEL,Industrial Services,Environmental Services,False,False,False,False,False,False,True,False,True,False,
920,Rossell Techsys Limited,ROSSTECH,Electronic Technology,Telecommunications Equipment,False,False,False,False,False,False,False,False,False,False,
921,Pitti Engineering Ltd.,PITTIENG,Producer Manufacturing,Industrial Machinery,False,False,False,False,False,False,False,False,False,False,
922,Sigma Advanced Systems Limited,SIGMAADV,Technology Services,Information Technology Services,False,False,False,False,False,False,False,False,False,False,SIGMAADV-BE
923,Rajesh Exports Limited,RAJESHEXPO,Consumer Durables,Other Consumer Specialties,False,False,False,False,False,False,False,False,False,False,RAJESHEXPO-BZ
924,MPS Limited,MPSLTD,Consumer Services,Publishing: Books/Magazines,False,False,False,False,False,False,False,False,False,False,
925,GE Power India Ltd.,GVPIL,Industrial Services,Engineering & Construction,False,False,False,False,False,False,False,False,False,False,GVPIL-BE
